"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp"
"EIF4G1","EIF4G1",1.68745636668075,1.94084970175909e-25,3.26263922131414e-22,"group2-group1"
"DNAJA2","DNAJA2",1.53825828530624,2.23239084592141e-25,3.26263922131414e-22,"group2-group1"
"CRKL","CRKL",1.39499918178636,9.89869614727904e-24,6.12369363052864e-21,"group2-group1"
"CIAPIN1","CIAPIN1",1.02944312162295,1.01869298872355e-23,6.12369363052864e-21,"group2-group1"
"FYB1","FYB1",1.8941650294297,1.08148672720039e-23,6.12369363052864e-21,"group2-group1"
"GCC1","GCC1",1.65599479429913,1.25700177157618e-23,6.12369363052864e-21,"group2-group1"
"YARS1","YARS1",2.93429899245867,1.99628451791229e-23,8.33591377979662e-21,"group2-group1"
"STAT5B","STAT5B",1.67810622357891,4.00248369330062e-23,1.39252952969145e-20,"group2-group1"
"CASP3","CASP3",1.52928756409632,4.28763796347009e-23,1.39252952969145e-20,"group2-group1"
"RWDD1","RWDD1",1.13242647319195,6.416206666564e-23,1.87545720863666e-20,"group2-group1"
"HCLS1","HCLS1",1.28794341144038,9.69379779158775e-23,2.50156648225259e-20,"group2-group1"
"SNAP29","SNAP29",1.63961698417637,1.02698589760626e-22,2.50156648225259e-20,"group2-group1"
"EBAG9","EBAG9",1.22729649155351,1.23365551001155e-22,2.77382696597212e-20,"group2-group1"
"FKBP5","FKBP5",1.55446124477975,2.23919249077806e-22,4.67511403610305e-20,"group2-group1"
"SNAP23","SNAP23",1.65142219482709,3.20785805229593e-22,6.25104605790734e-20,"group2-group1"
"PPIB","PPIB",1.39991348167816,5.48277304220615e-22,9.50123204776897e-20,"group2-group1"
"IST1","IST1",1.89395216130783,5.52586195046433e-22,9.50123204776897e-20,"group2-group1"
"EIF4E","EIF4E",1.64704084530536,8.62211735539097e-22,1.40013605721154e-19,"group2-group1"
"DOK2","DOK2",1.85661818291784,1.13265160478005e-21,1.74249507409057e-19,"group2-group1"
"SKAP2","SKAP2",1.91480933987957,1.35872736082295e-21,1.98324870426365e-19,"group2-group1"
"SIRT2","SIRT2",1.35722838546233,1.42484511767146e-21,1.98324870426365e-19,"group2-group1"
"DNAJB6","DNAJB6",1.27817746814009,1.95080118158974e-21,2.59190538808492e-19,"group2-group1"
"MPIG6B","MPIG6B",1.74525827083586,2.74132895876809e-21,3.48387154194744e-19,"group2-group1"
"CDC26","CDC26",1.1932975883505,2.98692729813635e-21,3.6378285385219e-19,"group2-group1"
"CD69","CD69",1.20830930657903,3.26607407376292e-21,3.81869380704361e-19,"group2-group1"
"CACYBP","CACYBP",1.66845943630372,4.03236227355465e-21,4.53330574061548e-19,"group2-group1"
"MANF","MANF",2.29765568177401,4.22000002316601e-21,4.56854076582009e-19,"group2-group1"
"PRDX5","PRDX5",1.35714636852237,5.49301110214043e-21,5.73431123269875e-19,"group2-group1"
"KIFBP","KIFBP",1.94206065226791,5.96425367910376e-21,6.01155638069665e-19,"group2-group1"
"ATP5IF1","ATP5IF1",1.87848535322002,6.17907975735586e-21,6.02048337691706e-19,"group2-group1"
"RILPL2","RILPL2",1.49162551244049,6.83001745480671e-21,6.25438865112947e-19,"group2-group1"
"VTA1","VTA1",1.29343723299704,6.84708986781195e-21,6.25438865112947e-19,"group2-group1"
"BCL2L1","BCL2L1",1.55406210022583,8.46752072157004e-21,7.50017062701492e-19,"group2-group1"
"MGMT","MGMT",2.02140416738794,1.29150689063222e-20,1.07975405016667e-18,"group2-group1"
"JPT2","JPT2",1.31322137728132,1.29289742578972e-20,1.07975405016667e-18,"group2-group1"
"ITGB1BP2","ITGB1BP2",2.1409526028702,1.40182970731571e-20,1.13820784291217e-18,"group2-group1"
"IRAK4","IRAK4",1.34694785555601,1.45704595313527e-20,1.15106630297686e-18,"group2-group1"
"MGLL","MGLL",1.64446293815407,1.64009973035303e-20,1.26158197679523e-18,"group2-group1"
"TBCB","TBCB",1.51523117638266,1.7754499191081e-20,1.33067695219307e-18,"group2-group1"
"GLOD4","GLOD4",0.61298902429001,1.90385002759044e-20,1.39123840766171e-18,"group2-group1"
"PPP1R9B","PPP1R9B",1.62433391261629,1.95996928650919e-20,1.39731468889424e-18,"group2-group1"
"FXN","FXN",1.26702789703166,2.22076628967139e-20,1.54554758683559e-18,"group2-group1"
"CIRBP","CIRBP",1.84597245863332,2.32690935694254e-20,1.58175722101001e-18,"group2-group1"
"ENO1","ENO1",1.10752778622145,2.45882236852482e-20,1.63344040527228e-18,"group2-group1"
"PPP1R12A","PPP1R12A",1.61588123686779,2.71516325023222e-20,1.76364937342862e-18,"group2-group1"
"DBNL","DBNL",1.52076549093927,2.91973651615071e-20,1.8553021384149e-18,"group2-group1"
"RAB27B","RAB27B",1.91505489178265,4.07351107433395e-20,2.53337720644216e-18,"group2-group1"
"PTPN6","PTPN6",1.86225340209064,4.45333014059093e-20,2.71189250019735e-18,"group2-group1"
"GIPC3","GIPC3",1.73163953566117,5.35413638876654e-20,3.19390625803359e-18,"group2-group1"
"LAT","LAT",1.96635682466875,5.98371185300144e-20,3.49807794926464e-18,"group2-group1"
"RAB11FIP3","RAB11FIP3",1.42951730671074,6.93373123260864e-20,3.95119184657876e-18,"group2-group1"
"TWF2","TWF2",1.26746100132059,7.02914731515892e-20,3.95119184657876e-18,"group2-group1"
"HPSE","HPSE",2.30296494834525,7.23950806700785e-20,3.99265699620074e-18,"group2-group1"
"SRC","SRC",1.73569636478877,7.40830409852134e-20,4.01008757036627e-18,"group2-group1"
"RBPMS2","RBPMS2",1.64232183760297,7.57052159163059e-20,4.02338811133386e-18,"group2-group1"
"FKBP4","FKBP4",0.776783070076569,7.80440574195487e-20,4.07362106852394e-18,"group2-group1"
"CDKN2D","CDKN2D",1.93232709006881,9.61248936375404e-20,4.92935200179878e-18,"group2-group1"
"PCYT2","PCYT2",1.25929135698874,1.12976358197448e-19,5.6936188795024e-18,"group2-group1"
"APRT","APRT",1.03694524414597,1.53116013554669e-19,7.58573063763215e-18,"group2-group1"
"GRAP2","GRAP2",2.06379331737769,1.60609964895844e-19,7.82438212317585e-18,"group2-group1"
"TBCA","TBCA",1.28160287058949,1.87307799722176e-19,8.97542128832659e-18,"group2-group1"
"DTD1","DTD1",1.98558741823278,1.92271827107112e-19,9.0646863005498e-18,"group2-group1"
"NCK2","NCK2",1.43974919634167,1.99755907325481e-19,9.17641351952633e-18,"group2-group1"
"DAPP1","DAPP1",2.56743082327533,2.00920446544538e-19,9.17641351952633e-18,"group2-group1"
"PDLIM7","PDLIM7",1.71056859675818,2.12414315283444e-19,9.55210836266933e-18,"group2-group1"
"TMED8","TMED8",1.29822111039718,2.31859859407809e-19,1.02685813492276e-17,"group2-group1"
"TACC3","TACC3",1.49532209419892,2.47822644211221e-19,1.0811725209394e-17,"group2-group1"
"ERP29","ERP29",1.57500144216562,2.52668011693132e-19,1.08610087967504e-17,"group2-group1"
"NT5C3A","NT5C3A",1.50807900150733,3.07539795806531e-19,1.29560665079995e-17,"group2-group1"
"CLIP2","CLIP2",1.93539219876093,3.10271863003751e-19,1.29560665079995e-17,"group2-group1"
"MINK1","MINK1",1.84125918783211,3.21065802863448e-19,1.32179625601388e-17,"group2-group1"
"DIABLO","DIABLO",1.87566583686059,3.96495802384043e-19,1.60966281995633e-17,"group2-group1"
"NFU1","NFU1",1.74202632167034,4.12392839913477e-19,1.65126612474944e-17,"group2-group1"
"MESD","MESD",1.47763672532429,4.84412892674841e-19,1.91343092606562e-17,"group2-group1"
"MTIF3","MTIF3",1.77040081121412,5.20522584988835e-19,2.02341060004275e-17,"group2-group1"
"ANXA11","ANXA11",1.79244168175689,5.26100600763768e-19,2.02341060004275e-17,"group2-group1"
"FKBP14","FKBP14",1.23468798098722,5.61809397125118e-19,2.13268684129444e-17,"group2-group1"
"YES1","YES1",0.946924327560292,5.7838914793594e-19,2.1674762556625e-17,"group2-group1"
"GOPC","GOPC",1.47424012798594,5.88899464356242e-19,2.1789280181181e-17,"group2-group1"
"DBI","DBI",0.956267148486471,6.28634535985383e-19,2.29687343585659e-17,"group2-group1"
"LZTFL1","LZTFL1",1.13294679449578,6.52033900947694e-19,2.35295690428409e-17,"group2-group1"
"CDKN1A","CDKN1A",1.55525648893815,6.97547641241005e-19,2.48650214066763e-17,"group2-group1"
"ATOX1","ATOX1",1.04668540967084,8.22658443773331e-19,2.89714533873427e-17,"group2-group1"
"MYDGF","MYDGF",1.24441985172263,9.32523798510195e-19,3.24496078933964e-17,"group2-group1"
"DAB2","DAB2",1.66467504383916,1.01121810348273e-18,3.47124581265435e-17,"group2-group1"
"LACTB2","LACTB2",0.860857234822843,1.03223814257927e-18,3.47124581265435e-17,"group2-group1"
"PRKG1","PRKG1",2.140496052481,1.03317956107057e-18,3.47124581265435e-17,"group2-group1"
"NEXN","NEXN",1.35565386926801,1.06153483234452e-18,3.5259844487989e-17,"group2-group1"
"CXCL3","CXCL3",2.33807558456632,1.23947475072007e-18,4.07076932174694e-17,"group2-group1"
"PPBP","PPBP",1.97143306593416,1.33751891211458e-18,4.34396420012324e-17,"group2-group1"
"HSPA1A","HSPA1A",0.812666167475487,1.37556741257524e-18,4.41844345819496e-17,"group2-group1"
"RGCC","RGCC",1.31983726506572,1.62446400825859e-18,5.16120466971723e-17,"group2-group1"
"PMVK","PMVK",2.4935922799769,1.69302978864293e-18,5.32121083032612e-17,"group2-group1"
"MSRA","MSRA",0.972401626296372,1.74069426203512e-18,5.41281843396664e-17,"group2-group1"
"MAP4K5","MAP4K5",1.17756047394653,1.90831391615956e-18,5.87158060729936e-17,"group2-group1"
"CLEC1B","CLEC1B",0.897166456383811,2.02405243877594e-18,6.16281799848134e-17,"group2-group1"
"FADD","FADD",1.20437182998222,2.05199134049862e-18,6.18347493636851e-17,"group2-group1"
"ACOT13","ACOT13",1.95433483648009,2.11631516043181e-18,6.31223389177775e-17,"group2-group1"
"APPL2","APPL2",1.63074755378447,2.27330292275753e-18,6.71198428608107e-17,"group2-group1"
"MTDH","MTDH",1.9637529420732,2.30680663459994e-18,6.74279579293564e-17,"group2-group1"
"PDGFA","PDGFA",1.35105850350322,2.65360161923874e-18,7.67968072577707e-17,"group2-group1"
"ARF6","ARF6",2.0205420102336,3.01473143528324e-18,8.63927449542443e-17,"group2-group1"
