"BIOCHEMICAL" "logFC" "P.Value" "adj.P.Val" "Comp" "Gene_name"
"Q13409" "Q13409" -0.235322626937432 0.0012859202289008 0.0173614900531525 "Control vs hc-like" "DYNC1I2"
"O94906" "O94906" -0.357487443507434 0.00130352034017539 0.0173614900531525 "Control vs hc-like" "PRPF6"
"Q15404" "Q15404" 0.279319694838932 0.00130491528291458 0.0173614900531525 "Control vs hc-like" "RSU1"
"P12694" "P12694" 0.352245150875699 0.00131517818690945 0.0173623911031534 "Control vs hc-like" "BCKDHA"
"Q13185" "Q13185" -0.282064132746463 0.00133381064423925 0.0174729194395341 "Control vs hc-like" "CBX3"
"P10768" "P10768" -0.338584304992565 0.00138470900049469 0.018001217006431 "Control vs hc-like" "ESD"
"P62913" "P62913" -0.243427212819828 0.00142964054004534 0.0184445290886153 "Control vs hc-like" "RPL11"
"P02746" "P02746" 0.571130353188465 0.00148871881876757 0.0189997307700124 "Control vs hc-like" "C1QB"
"Q7L0J3" "Q7L0J3" -0.292175867367565 0.00149498762371207 0.0189997307700124 "Control vs hc-like" "SV2A"
"Q13505" "Q13505" 0.915668086394767 0.00154769221680864 0.0195238507053712 "Control vs hc-like" "MTX1"
"P04844" "P04844" 0.199227165268301 0.00160019890080372 0.0200326457243307 "Control vs hc-like" "RPN2"
"P62081" "P62081" -0.354798106263235 0.00161155165251515 0.0200326457243307 "Control vs hc-like" "RPS7"
"Q92769" "Q92769" -0.249391467151064 0.00163720876960239 0.0200837930775068 "Control vs hc-like" "HDAC2"
"O75695" "O75695" 0.33050173176413 0.00163925263521635 0.0200837930775068 "Control vs hc-like" "RP2"
"P15311" "P15311" -0.253885435931064 0.00166350572703553 0.0202353589510107 "Control vs hc-like" "EZR"
"Q07955" "Q07955" -0.251802290984291 0.00168886565986454 0.0203981433953852 "Control vs hc-like" "SRSF1"
"P22102" "P22102" -0.223369416748369 0.00174595679911 0.0209391861189038 "Control vs hc-like" "GART"
"P14174" "P14174" -0.31519320817916 0.00179370178458461 0.0211628247316178 "Control vs hc-like" "MIF"
"P31040" "P31040" -0.241704673872036 0.0017961489042851 0.0211628247316178 "Control vs hc-like" "SDHA"
"Q96AX1" "Q96AX1" -0.640079618400566 0.0018018846659334 0.0211628247316178 "Control vs hc-like" "VPS33A"
"P23368" "P23368" 0.248084146987143 0.00186656573377997 0.021677226553338 "Control vs hc-like" "ME2"
"Q7L2E3" "Q7L2E3" -0.314836882215566 0.00187114051869682 0.021677226553338 "Control vs hc-like" "DHX30"
"P39023" "P39023" -0.274990845180703 0.0018864921740537 0.0217074065703611 "Control vs hc-like" "RPL3"
"Q9UBQ7" "Q9UBQ7" -0.260589621155567 0.00202855243063375 0.0231854012709347 "Control vs hc-like" "GRHPR"
"P49720" "P49720" 0.237253282759365 0.00209642542157655 0.0238014166196324 "Control vs hc-like" "PSMB3"
"P99999" "P99999" 0.561238891940732 0.00214941682701545 0.0242380727011632 "Control vs hc-like" "CYCS"
"Q9H0D6" "Q9H0D6" 0.275252096533396 0.00216335117473682 0.0242380727011632 "Control vs hc-like" "XRN2"
"Q02978" "Q02978" 0.224124499954897 0.00222661635586959 0.024730619083819 "Control vs hc-like" "SLC25A11"
"P49588" "P49588" -0.217765151182402 0.00225473178440758 0.024730619083819 "Control vs hc-like" "AARS1"
"P26639" "P26639" -0.188912615340435 0.00226712357072934 0.024730619083819 "Control vs hc-like" "TARS1"
"Q86SK9" "Q86SK9" -0.361353343429805 0.00227448108156325 0.024730619083819 "Control vs hc-like" "SCD5"
"Q8N128" "Q8N128" 0.3227743334901 0.00227992201770968 0.024730619083819 "Control vs hc-like" "FAM177A1"
"O15145" "O15145" -0.234468199747404 0.002325201334478 0.0250191522114971 "Control vs hc-like" "ARPC3"
"P26373" "P26373" -0.22919858330323 0.00234034828173769 0.0250191522114971 "Control vs hc-like" "RPL13"
"O43768" "O43768" -0.295975589291807 0.00235579790767935 0.0250191522114971 "Control vs hc-like" "ENSA"
"P54578" "P54578" 0.215389838362935 0.00236880072380668 0.0250191522114971 "Control vs hc-like" "USP14"
"P24539" "P24539" -0.257852830302106 0.00239134706412112 0.0250191522114971 "Control vs hc-like" "ATP5PB"
"Q16875" "Q16875" 0.29873307268937 0.00241263280584043 0.0250191522114971 "Control vs hc-like" "PFKFB3"
"Q15417" "Q15417" 0.247800324102435 0.00242981397945696 0.0250191522114971 "Control vs hc-like" "CNN3"
"O76070" "O76070" -0.306709290166733 0.00244129325174801 0.0250191522114971 "Control vs hc-like" "SNCG"
"P25398" "P25398" -0.325183875292698 0.00244977761319689 0.0250191522114971 "Control vs hc-like" "RPS12"
"Q16629" "Q16629" -0.277214600518402 0.00245343418633001 0.0250191522114971 "Control vs hc-like" "SRSF7"
"Q9UL25" "Q9UL25" -0.559978848646537 0.00253708934070656 0.0254568739259169 "Control vs hc-like" "RAB21"
"P10909" "P10909" -0.27323642848517 0.00255222525000384 0.0254568739259169 "Control vs hc-like" "CLU"
"P49902" "P49902" 0.241339526337335 0.00256964892048473 0.0254568739259169 "Control vs hc-like" "NT5C2"
"P20336" "P20336" 0.222915894881076 0.00257288981380934 0.0254568739259169 "Control vs hc-like" "RAB3A"
"Q15005" "Q15005" 0.257536798787964 0.00258604767421235 0.0254568739259169 "Control vs hc-like" "SPCS2"
"Q9NP58" "Q9NP58" 0.224132208357103 0.0026887028354292 0.0263152926938846 "Control vs hc-like" "ABCB6"
"O00422" "O00422" -0.26901834958467 0.00271118391721302 0.0263691719292521 "Control vs hc-like" "SAP18"
"P53007" "P53007" 0.178635461146296 0.00272517572492564 0.0263691719292521 "Control vs hc-like" "SLC25A1"
"Q3LXA3" "Q3LXA3" -0.389785889059798 0.0027624870874418 0.0264519488483717 "Control vs hc-like" "TKFC"
"O00487" "O00487" -0.314945441384165 0.00281237198397352 0.0264519488483717 "Control vs hc-like" "PSMD14"
"P02763" "P02763" 1.01523847806733 0.00281259119757756 0.0264519488483717 "Control vs hc-like" "ORM1"
"Q9Y3I0" "Q9Y3I0" -0.196906421876868 0.00281624279821008 0.0264519488483717 "Control vs hc-like" "RTCB"
"P62263" "P62263" -0.229456616182169 0.00282459145380437 0.0264519488483717 "Control vs hc-like" "RPS14"
"Q13242" "Q13242" -0.2132377964314 0.0028269258311237 0.0264519488483717 "Control vs hc-like" "SRSF9"
"Q6FI81" "Q6FI81" -0.255210562424868 0.00287796578481351 0.0267823810466525 "Control vs hc-like" "CIAPIN1"
"P25325" "P25325" -0.244670583450901 0.00289696367194906 0.0268126583333112 "Control vs hc-like" "MPST"
"Q14203" "Q14203" -0.257603623800371 0.00292023888905043 0.0268819828543399 "Control vs hc-like" "DCTN1"
"P04179" "P04179" 0.30176148513603 0.00296047089945855 0.026974629278412 "Control vs hc-like" "SOD2"
"Q9Y5K8" "Q9Y5K8" 0.336410255363228 0.00296498220915297 0.026974629278412 "Control vs hc-like" "ATP6V1D"
"Q16181" "Q16181" -0.253712556860666 0.00297782167019463 0.026974629278412 "Control vs hc-like" "SEPTIN7"
"P09012" "P09012" 0.201819001304539 0.00304003252233989 0.0272342596015737 "Control vs hc-like" "SNRPA"
"P08559" "P08559" -0.217964092376434 0.00304089290475041 0.0272342596015737 "Control vs hc-like" "PDHA1"
"P11498" "P11498" 0.404725357218727 0.0030544589453321 0.0272342596015737 "Control vs hc-like" "PC"
"Q9H313" "Q9H313" -0.357414543857534 0.00311722819623502 0.0275587669050773 "Control vs hc-like" "TTYH1"
"Q9UBB4" "Q9UBB4" 0.183037941584836 0.0031232190326952 0.0275587669050773 "Control vs hc-like" "ATXN10"
"P12004" "P12004" -0.259876489606665 0.00320248441369428 0.0281125307037183 "Control vs hc-like" "PCNA"
"P02652" "P02652" 0.498450182698534 0.00324702533569976 0.0283573545984446 "Control vs hc-like" "APOA2"
"O60884" "O60884" -0.19558298809547 0.00326993758038901 0.02841175356838 "Control vs hc-like" "DNAJA2"
"P47914" "P47914" -0.658797050250836 0.00331100538823819 0.028532233632248 "Control vs hc-like" "RPL29"
"Q16881" "Q16881" 0.185970761445667 0.00331731195489437 0.028532233632248 "Control vs hc-like" "TXNRD1"
"P49207" "P49207" -0.241458712130033 0.00335966787646906 0.028546872900518 "Control vs hc-like" "RPL34"
"P13667" "P13667" -0.1700908881221 0.00336694146488406 0.028546872900518 "Control vs hc-like" "PDIA4"
"Q16775" "Q16775" -0.388000162073835 0.00336930208632069 0.028546872900518 "Control vs hc-like" "HAGH"
"Q9Y3B3" "Q9Y3B3" -0.181711368653666 0.0034501417859211 0.0290074245791874 "Control vs hc-like" "TMED7"
"P04062" "P04062" 0.266848328212532 0.00345772588935704 0.0290074245791874 "Control vs hc-like" "GBA"
"Q96CW1" "Q96CW1" 0.170448894661369 0.00350318458330356 0.0292447222812057 "Control vs hc-like" "AP2M1"
"Q99584" "Q99584" 0.327526040489964 0.00354172453860563 0.0294222287280262 "Control vs hc-like" "S100A13"
"P53999" "P53999" -0.235426740607764 0.00360437034136313 0.0297911295219545 "Control vs hc-like" "SUB1"
"P51572" "P51572" -0.20360784918417 0.0036337561396539 0.0297911295219545 "Control vs hc-like" "BCAP31"
"Q99733" "Q99733" -0.238514722196005 0.00363861123932269 0.0297911295219545 "Control vs hc-like" "NAP1L4"
"Q9BY44" "Q9BY44" 0.293887349197465 0.00366756022862775 0.0298844740160433 "Control vs hc-like" "EIF2A"
"P61758" "P61758" 0.161485466495762 0.00371112723611521 0.0299547691183052 "Control vs hc-like" "VBP1"
"Q9HD42" "Q9HD42" -0.244925262387603 0.00371136599175713 0.0299547691183052 "Control vs hc-like" "CHMP1A"
"Q8TAT2" "Q8TAT2" -0.630639020361066 0.00381658681664064 0.0306587139091463 "Control vs hc-like" "FGFBP3"
"Q9Y678" "Q9Y678" -0.221091779461133 0.00383729694098113 0.0306803600492529 "Control vs hc-like" "COPG1"
"P17480" "P17480" -0.620173958869362 0.00401401869884311 0.0319182376536115 "Control vs hc-like" "UBTF"
"P20340" "P20340" -0.226499567964137 0.00404834828364542 0.0319182376536115 "Control vs hc-like" "RAB6A"
"Q07954" "Q07954" -0.167865833045497 0.00404834957908402 0.0319182376536115 "Control vs hc-like" "LRP1"
"P49257" "P49257" -0.250890228353402 0.00409675608604524 0.0321510396983182 "Control vs hc-like" "LMAN1"
"P36578" "P36578" -0.204417847419212 0.004157007534038 0.0323901288292956 "Control vs hc-like" "RPL4"
"Q99497" "Q99497" -0.187278496268167 0.00416526025461876 0.0323901288292956 "Control vs hc-like" "PARK7"
"O15511" "O15511" 0.337658475835529 0.00430727019689632 0.0332713298156625 "Control vs hc-like" "ARPC5"
"P15954" "P15954" -0.220583805958974 0.00431765348752872 0.0332713298156625 "Control vs hc-like" "COX7C"
"Q92945" "Q92945" -0.219261375127967 0.00440935292555286 0.0335579853863354 "Control vs hc-like" "KHSRP"
"P51149" "P51149" 0.181189820231165 0.00442206307708952 0.0335579853863354 "Control vs hc-like" "RAB7A"
"Q99471" "Q99471" -0.189278027113666 0.00442630223300341 0.0335579853863354 "Control vs hc-like" "PFDN5"
"P06756" "P06756" -0.28639463981944 0.00443367393536433 0.0335579853863354 "Control vs hc-like" "ITGAV"
"P62995" "P62995" -0.232117916224805 0.00448306863836934 0.0336580386058321 "Control vs hc-like" "TRA2B"
"P28331" "P28331" -0.217300306862697 0.00450357391443515 0.0336580386058321 "Control vs hc-like" "NDUFS1"
"Q96B49" "Q96B49" 0.352763107396065 0.00459583280208919 0.034116242665111 "Control vs hc-like" "TOMM6"
"P27635" "P27635" -0.202790784417765 0.0046075958972258 0.034116242665111 "Control vs hc-like" "RPL10"
"Q9NYB9" "Q9NYB9" 0.182653711701466 0.00465685784320962 0.0343317268700692 "Control vs hc-like" "ABI2"
"Q9BXW7" "Q9BXW7" -0.366788225095863 0.00471940036983828 0.0346428397837698 "Control vs hc-like" "HDHD5"
"Q9BR76" "Q9BR76" -0.179498753711897 0.00488600845004117 0.0355305902152736 "Control vs hc-like" "CORO1B"
"Q9UJ14" "Q9UJ14" -0.370218092877764 0.00488692294559548 0.0355305902152736 "Control vs hc-like" "GGT7"
"P13674" "P13674" -0.244218110839068 0.0049221774895877 0.0355305902152736 "Control vs hc-like" "P4HA1"
"P16402" "P16402" -0.741511609008899 0.00492379288949182 0.0355305902152736 "Control vs hc-like" "H1-3"
"Q6UXD5" "Q6UXD5" -0.387500966818735 0.00496668494736206 0.0356888796006649 "Control vs hc-like" "SEZ6L2"
"Q9BW83" "Q9BW83" -0.244256962634765 0.00506672363841165 0.0362547493958615 "Control vs hc-like" "IFT27"
"Q9Y3F4" "Q9Y3F4" 0.229316769035595 0.00513939806601222 0.0366208991900369 "Control vs hc-like" "STRAP"
"Q9NX63" "Q9NX63" -0.376809759320029 0.00519762034219394 0.0368814476781511 "Control vs hc-like" "CHCHD3"
"P82979" "P82979" -0.37712770677803 0.00525430870549849 0.0371289947114686 "Control vs hc-like" "SARNP"
"P26378" "P26378" -0.629156987001004 0.00532700576127339 0.0374871521134239 "Control vs hc-like" "ELAVL4"
"P55145" "P55145" -0.284775969134468 0.00540856726815566 0.0379044858340292 "Control vs hc-like" "MANF"
"O95817" "O95817" 0.309338483029064 0.00546176042685244 0.0381204016677447 "Control vs hc-like" "BAG3"
"P23246" "P23246" -0.188947718910526 0.00549545602819275 0.0381990270041317 "Control vs hc-like" "SFPQ"
"P46108" "P46108" 0.207989187237295 0.00565562383671452 0.0391017505944647 "Control vs hc-like" "CRK"
"Q04760" "Q04760" -0.25382513765863 0.00567124626942617 0.0391017505944647 "Control vs hc-like" "GLO1"
"P62899" "P62899" -0.183319306158367 0.00573885990440457 0.0393754142075519 "Control vs hc-like" "RPL31"
"P14406" "P14406" 0.197030529267561 0.00575718035095739 0.0393754142075519 "Control vs hc-like" "COX7A2"
"Q99460" "Q99460" -0.164723990646294 0.00584596399298143 0.0395142432198652 "Control vs hc-like" "PSMD1"
"Q99593" "Q99593" -0.510994815867601 0.00584870988703563 0.0395142432198652 "Control vs hc-like" "TBX5"
"P12277" "P12277" -0.208018848500995 0.00589912494562534 0.0395142432198652 "Control vs hc-like" "CKB"
"Q66K74" "Q66K74" 0.155558676517732 0.005899377943488 0.0395142432198652 "Control vs hc-like" "MAP1S"
"P33316" "P33316" -0.260223512280167 0.00594250777069243 0.0395142432198652 "Control vs hc-like" "DUT"
"P00441" "P00441" -0.375431537283362 0.0059468325500623 0.0395142432198652 "Control vs hc-like" "SOD1"
"Q8N257" "Q8N257" -0.500622056364566 0.00597087173129078 0.0395142432198652 "Control vs hc-like" "H2BU1"
"O75037" "O75037" -0.374361683933767 0.00598223150998483 0.0395142432198652 "Control vs hc-like" "KIF21B"
